id;Texto;Etiqueta
42;"""Sería mejor si se proporcionaran los códigos de los patrones de diseño al menos dentro de la semana en que se discuten.""";"Claridad de los materiales de clase; Desorganización"
43;"Me gusta la forma en que nos enseñas, es lo mejor. Hiciste un gran trabajo, señora. Lo único negativo es que no tuvimos suficiente tiempo para trabajar más en patrones de diseño.";"Desorganización; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
44;MUCHAS GRACIAS SEÑORA;Entusiasmo del profesor sobre el curso
45;"Me perdí una clase que dictaste. Cuando dijiste que esa sería tu última clase, me di cuenta de por qué me arrepentí de haberme perdido esa clase. Porque tus clases fueron geniales. Espero que dictes algunos módulos en el futuro. Gracias.";Entusiasmo del profesor sobre el curso
46;Curso excelente;Alineamiento constructivo
47;"No realizamos prácticas en los espacios de tiempo asignados. Sé que tenemos que estudiar algo para diseñar algo. En ese momento, siento que hubiera sido útil organizar algunos tutoriales y hacer ejemplos con diagramas UML, y dar una idea inicial sobre cómo implementar el diseño. Sería más fácil cuando llegara el momento de diseñar los proyectos.";"Andamiaje inadecuado o insuficiente; Aprendizaje basado en proyectos; Ausencia de modelación; Desorganización; Falta de tareas preparatorias"
48;Gracias ! Señorita : );"Entusiasmo del profesor sobre el curso; Relación cercana"
49;Las clases estuvieron organizadas en buen orden. La serie de clases fue muy útil para alcanzar el objetivo.;"Alineamiento constructivo; Estructura del curso"
50;"Por favor señora, si pudiera compartirnos sus códigos de ejemplo, sería muy útil.";Claridad de los materiales de clase
51;"""Espero que pongas los ejemplos de código en moodle o que tengamos tiempo para escribirlos en clase. Si buscamos ese tipo de códigos en internet, nos dan ejemplos no relacionados y con demasiada complejidad (especialmente los patrones de diseño). ¿Podrías hacerlo, señora?""";Claridad de los materiales de clase
52;Es mejor tener clases de tutoría para este módulo para discutir más preguntas;"Falta de orientaciones generales sobre nuevos contenidos; Falta de tareas preparatorias"
53;"Por favor, proporcione ejemplos de código con la presentación";"Claridad de los materiales de clase; No se estimulan conexiones o analogías"
54;"""Las diapositivas de la clase estaban bien organizadas y el profesor estaba seguro de lo que enseñaba""";"Alineamiento constructivo; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso"
55;"Si el profesor puede discutir más ejemplos prácticos y exámenes anteriores, sería mejor.";"Ejemplificación contextualizada; No se estimulan conexiones o analogías; Proveer desafíos intelectuales"
56;"Señorita, usted presta más atención a los estudiantes débiles como nosotros y eso es adorable";"Entusiasmo del profesor sobre el curso; Evaluación auténtica; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
57;Beneficiaría más a los estudiantes si las diapositivas de la clase estuvieran construidas de manera que los estudiantes puedan aprender de forma autónoma.;"Claridad de los materiales de clase; Desorganización"
58;"En cuanto a las clases de patrones de diseño, se podrían agregar los códigos de cada patrón en el lado de la clase, sería útil.";Desorganización
59;"""El proyecto de semestre es muy útil para aprender y entender el enfoque práctico de las teorías.""";"Alineamiento constructivo; Aprendizaje basado en proyectos; Estimulación del interés de los estudiantes; Estructura del curso; Proveer desafíos intelectuales"
60;"Agregar más ejemplos resueltos a las diapositivas de la clase, no muchos, pero como 2 o 3.";"Claridad de los materiales de clase; No se estimulan conexiones o analogías"
61;Las presentaciones en clase fueron muy útiles.;"Alineamiento constructivo; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones"
62;"Es bueno que la evaluación final del proyecto grupal sea después del examen final, así podemos enfocarnos completamente en el proyecto y obtener la mejor experiencia.";"Aprendizaje basado en proyectos; Aprendizaje entre pares; Calidad y equidad en los exámenes; Estimulación del interés de los estudiantes; Estructura del curso"
63;"Las clases realmente me ayudaron a entender la materia. Habría sido aún mejor si se hubieran dado más ejemplos, especialmente sobre patrones de diseño. Muchas gracias.";"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Falta de tareas preparatorias; Modelado"
64;Tus clases estaban bien estructuradas. Gracias.;"Alineamiento constructivo; Estructura del curso"
65;"En general, la serie de conferencias es buena.";"Alineamiento constructivo; Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones"
66;"""Buen módulo para mejorar nuestros conocimientos sobre diseño de software.""";"Alineamiento constructivo; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes; Proveer desafíos intelectuales"
67;"""Las clases bien preparadas y las diapositivas fueron muy útiles al estudiar para el examen. Sería mejor si hubiera un incremento en las tareas.""";"Alineamiento constructivo; Calidad y equidad en los exámenes; Claridad de los materiales de clase; Claridad en los objetivos del curso; Estructura del curso; Falta de desafíos intelectuales"
68;La serie de clases fue buena.;"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Estructura del curso"
69;La serie de clases es buena y mejorarían si hubiera una clase de tutoría para discutir problemas relacionados con un patrón de diseño.;"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Estructura del curso; No se estimulan conexiones o analogías"
70;Dar más ejemplos puede ayudar a entender más fácilmente.;"Andamiaje inadecuado o insuficiente; No se estimulan conexiones o analogías"
71;"En general, las clases nos enseñaron bien y tengo una comprensión profunda sobre esta materia. Además, esto me será muy útil en mi carrera como ingeniero en Ciencias de la Computación.";"Alineamiento constructivo; Aplicación del conocimiento; Autoevaluación de los estudiantes; Claridad y comprensibilidad de las explicaciones; Estructura del curso; Modelado; Proveer desafíos intelectuales; Relacionar el contenido con la vida e intereses de los estudiantes"
72;La serie de clases estaba bien estructurada. Tener una evaluación intermedia para el proyecto es muy buena y útil. Sería mejor si pudieras trabajar algunos ejemplos más si hay suficiente tiempo.;"Alineamiento constructivo; Aprendizaje basado en proyectos; Desorganización; Estimulación del interés de los estudiantes; Estructura del curso; Falta de tareas preparatorias"
73;"Muchas gracias señora, usted lo hizo muy bien.";"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Modelado; Proveer desafíos intelectuales; Relación cercana"
74;"En general muy bueno, pero hubiera sido mejor si se hicieran más preguntas en clase.";"Alineamiento constructivo; Andamiaje inadecuado o insuficiente; Estructura del curso; Fomento de preguntas y discusiones"
75;La serie de clases fueron realmente buenas y pude obtener mucho conocimiento sobre el desarrollo de un sistema.;"Alineamiento constructivo; Aplicación del conocimiento; Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes; Estructura del curso; Proveer desafíos intelectuales"
76;Sería mejor si los ejemplos discutidos en clase se pudieran publicar en moodle porque los códigos ayudan a entender mejor.;"Alineamiento constructivo; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Fomento de preguntas y discusiones; Modelado"
77;"Señora, si es posible, por favor incluya también los tutoriales.";Claridad de los materiales de clase
78;Intenta hacer más ejemplos prácticos durante las clases.;"Ejemplificación contextualizada; Falta de apoyo en la integración de nuevo conocimiento"
79;"""Creo que sería bueno que el profesor discutiera más ejemplos de preguntas de patrones de diseño y diera una clase de tutoría para mejorar nuestras habilidades""";"Andamiaje inadecuado o insuficiente; Ausencia de acompañamiento; Ejemplificación contextualizada; Estimulación del interés de los estudiantes; Falta de apoyo en la integración de nuevo conocimiento"
80;"Las diapositivas de la clase contienen todo el contenido necesario, hubiera sido mejor si se hubiera dedicado más tiempo a la discusión del enfoque basado en entidades.";"Alineamiento constructivo; Claridad de los materiales de clase; Falta de apoyo en la integración de nuevo conocimiento; Fomento de preguntas y discusiones"
81;"""Muy buena serie de clases y aprendí muchas cosas extras. Especialmente la señora Marcia piensa realmente desde el lado del estudiante.""";"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Estructura del curso; Proveer desafíos intelectuales; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
82;Esta serie de conferencias me ayudó a entender el uso de los principios de la Programación Orientada a Objetos en la industria. Las conferencias fueron bastante interesantes y me motivaron a dar lo mejor de mí.;"Alineamiento constructivo; Autoevaluación de los estudiantes; Claridad y comprensibilidad de las explicaciones; Ejemplificación contextualizada; Estructura del curso"
83;"Si las diapositivas fueran más descriptivas, sería mejor, porque si uno se pierde una clase, no puede entender la lección solo con las diapositivas.";Desorganización
84;"""Como había muchos conceptos teóricos que recordar, no fue tan fácil mantener el interés a lo largo de la serie de clases. Por lo tanto, sería más eficiente tener incluso algunas preguntas para responder después de cada clase cada semana.""";"Actividades instruccionales monótonas; No hay retroalimentación constructiva"
85;Sería melhor dar más ejemplos para el estudio por cuenta propia.;"Ejemplificación contextualizada; Falta de apoyo en la integración de nuevo conocimiento"
86;Hacer clases de tutoría como en el segundo semestre sería más útil.;Andamiaje inadecuado o insuficiente
87;La profesora tiene buenas habilidades para enseñar.;"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso"
88;"""Las clases magistrales estaban bien planeadas y enseñan los temas relevantes de manera muy interactiva. Pero si hubiera una clase de tutoría sería mejor...""";"Alineamiento constructivo; Andamiaje inadecuado o insuficiente; Claridad de los materiales de clase; Estructura del curso; Materiales interactivos"
89;Subir ejemplos de código;Ejemplificación contextualizada
90;Una de las mejores profesoras que hemos tenido en CSE.;Relación cercana
91;El profesor fue muy bueno;Relación cercana
92;La serie de clases es buena. El profesor está motivado para hacer lo mejor en este módulo y la forma de evaluación continua es muy apreciada.;"Alineamiento constructivo; Calidad y equidad en los exámenes; Entusiasmo del profesor sobre el curso; Estructura del curso; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
93;"Por favor, reduzcan el contenido del módulo, es muy difícil memorizar todo esto.";"Falta de apoyo en la integración de nuevo conocimiento; Objetivos desbalanceados"
94;Disfruté la serie de clases.;Estructura del curso
95;"En general, la enseñanza es buena";Claridad y comprensibilidad de las explicaciones
96;Habría sido aún mejor si hubiéramos tenido tutorías.;Andamiaje inadecuado o insuficiente
97;Es mejor tener pruebas en clase. Así no olvidaremos los datos y es útil para los exámenes de mitad y fin de curso.;Andamiaje inadecuado o insuficiente
98;"Proporcioné una idea básica sobre diagramas de clase. Luego, brindé conocimiento sobre cómo comenzar un nuevo problema de software con un ciclo de vida. Si pudiéramos hacer más preguntas, sería mejor.";"Autoevaluación de los estudiantes; Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones; Proveer desafíos intelectuales"
99;Ella tiene confianza en las materias y lo hace muy bien. Sería mejor subir algunos códigos de ejemplo en la semana correspondiente a Moodle para una mejor comprensión.;"Andamiaje inadecuado o insuficiente; Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso"
100;Mi serie de conferencias favorita.;"Alineamiento constructivo; Estimulación del interés de los estudiantes"
101;"Sería mejor si tuviéramos una o dos clases de tutoría como la de programación orientada a objetos la última vez, ya que fue realmente útil desde mi punto de vista. Gracias.";"Alineamiento constructivo; Andamiaje inadecuado o insuficiente"
102;Estoy de acuerdo con la forma en que se están impartiendo las clases.;"Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes; Estructura del curso"
103;"Fue útil, tener más ejemplos relacionados en clase.";Ejemplificación contextualizada
104;"Si hay alguna actividad grupal para discutir y derivar soluciones, sería más interesante.";Actividades instruccionales monótonas
105;Esta serie de conferencias fue muy útil como base para el desarrollo de software.;"Alineamiento constructivo; Autoevaluación de los estudiantes; Estimulación del interés de los estudiantes; Estructura del curso"
106;Trabajar en más ejemplos sería de ayuda. Tener más tiempo para patrones de diseño también sería útil.;"Ejemplificación contextualizada; Estimulación del interés de los estudiantes"
107;"""Los proyectos y las evaluaciones continuas me ayudaron a identificar mis debilidades.""";"Alineamiento constructivo; Aprendizaje basado en proyectos; Autoevaluación de los estudiantes; Estimulación del interés de los estudiantes; Estructura del curso; Evaluación auténtica; Proveer desafíos intelectuales"
108;La serie de conferencias fue buena;"Alineamiento constructivo; Estimulación del interés de los estudiantes; Estructura del curso; Fomento de preguntas y discusiones"
109;"Señora, sería muy útil si pudiera proporcionarnos las diapositivas preparadas por usted para las primeras 4 clases. Como el libro de texto es muy detallado y es difícil recordar todos los datos, tener un conjunto de diapositivas nos permitiría usarlo como un resumen.";Claridad de los materiales de clase
110;"Es mejor si puedes dar más ejercicios prácticos para cada sección, como lo hicimos con el ejemplo de Flexi Taxi.";"Aprendizaje basado en problemas; Ejemplificación contextualizada; Estimulación del interés de los estudiantes"
111;"Dar el proyecto grupal para probar y aplicar lo que aprendimos fue una idea realmente buena. Aunque la parte de redacción del informe parecía molesta mientras lo hacíamos, cuando empezamos a estudiar para el examen final fue realmente útil. Así que recomiendo que se hagan las mismas cosas con mi generación junior y agregar más ejercicios si es posible : )";"Alineamiento constructivo; Aplicación del conocimiento; Aprendizaje basado en proyectos; Aprendizaje entre pares; Autoevaluación de los estudiantes; Calidad y equidad en los exámenes; Estimulación del interés de los estudiantes; Estructura del curso; Proveer desafíos intelectuales"
112;"La clase fue buena. Aparte de la puntualidad, no hubo problemas con la clase. El contenido fue bueno y la forma en que se enseñó fue realmente comprensible.";"Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes"
113;El profesor pudo explicar bien la materia;Claridad y comprensibilidad de las explicaciones
114;"Fue una buena serie de clases, pero creo que sería mejor si discutiéramos más sobre aplicaciones prácticas que utilicen esos métodos.";"Estructura del curso; No se estimulan conexiones o analogías; Sin aplicación de conocimientos y habilidades en diferentes contextos"
115;La serie de clases fue buena y bien enseñada. Hubiera sido mejor si la carga de trabajo (syllabus) fuera menor. Fue muy difícil manejar esa carga de trabajo con otras materias.;"Claridad y comprensibilidad de las explicaciones; Estructura del curso; Objetivos desbalanceados"
116;Sería mejor si pudiéramos tener las diapositivas de la clase;Claridad de los materiales de clase
117;"En realidad, esta fue una buena serie de clases.";"Alineamiento constructivo; Estructura del curso"
118;Sería mejor hacer algunos ejercicios más de patrones de diseño durante la clase. Pero la conferencia se llevó a cabo de buena manera. La serie de conferencias me ayudó mucho a mejorar mi conocimiento en OOSD durante la lección.;"Alineamiento constructivo; Autoevaluación de los estudiantes; Proveer desafíos intelectuales"
119;Las clases fueron realmente útiles. Gracias señora.;"Alineamiento constructivo; Estimulación del interés de los estudiantes; Estructura del curso"
120;La serie de conferencias fue buena;"Alineamiento constructivo; Estimulación del interés de los estudiantes; Estructura del curso"
121;"No es necesario tener todos los días prácticos en este semestre, y es bueno utilizar el libro de texto para este semestre.";Claridad de los materiales de clase
122;Los ejemplos son muy buenos ( especialmente para patrones de diseño ). Tú y la señora Alix dictaron una excelente serie de clases. Gracias.;"Claridad y comprensibilidad de las explicaciones; Ejemplificación contextualizada"
123;La clase fue buena y nos motivó a leer el libro de texto y aprender mucho de él.;"Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes"
124;"""Usted enseñó de la mejor manera con oosd, como yo lo siento. Utilizar ejemplos cotidianos para enfatizar puntos teóricos es apreciable, ya que así podemos entenderlos más fácilmente.""";"Claridad y comprensibilidad de las explicaciones; Ejemplificación contextualizada; Relacionar el contenido con la vida e intereses de los estudiantes"
125;Una de las mejores profesoras que he conocido en mi vida. Gracias por tu apoyo y sabios consejos.;Relación cercana
126;"Al principio siempre me sentaba en la última fila, creo que me perdí algunas cosas que enseñabas debido a las distracciones con las que trabajaba. Pensaba que el libro era demasiado, pero cuando comencé a leerlo, me di cuenta de que el libro no contiene más que ejemplos cotidianos que todos podemos entender. Entonces me mudé a las filas del frente para interactuar adecuadamente con la materia, en realidad, la pasión con la que enseñas es muy buena, los ejemplos que sacabas de la industria, tu experiencia laboral y los chistes que contabas (algunos chistes estaban un poco fuera de mi límite). Todo contiene algo valioso con respecto a nuestra carrera. Y lo más importante es, señorita, su disponibilidad para nosotros, nadie tiene miedo de ir a compartir los temas con usted. Porque es posible que no tengamos dudas durante la clase. Siempre después de un examen parcial, usted discutía el examen en la siguiente clase. Eso es perfecto. Ayuda a corregir nuestros errores y a obtener una idea clara de su punto de vista sobre la pregunta. Porque diferentes personas tienen diferentes puntos de vista sobre el mismo problema. Así que podríamos crear una visión común y buena al discutir los problemas. Gracias, señorita.";"Alineamiento constructivo; Claridad de los materiales de clase; Ejemplificación contextualizada; Entusiasmo del profesor sobre el curso; Modelado; Relacionar el contenido con la vida e intereses de los estudiantes; Relación cercana; Retroalimentación frecuente por parte de los profesores"
127;"Señora, si puede darnos más tiempo (45 min) para presentar nuestros proyectos finales, sería bueno para nosotros los estudiantes.";"Aprendizaje basado en proyectos; Objetivos desbalanceados"
128;Unos pocos ejemplos más serían geniales;Ejemplificación contextualizada
129;Sería mejor si se realizaran laboratorios de práctica de patrones de diseño.;Estimulación del interés de los estudiantes
130;"Sería mejor si pudiera reducir el ritmo de enseñanza, señora. Para mí fue difícil entender los conceptos, especialmente los patrones de diseño.";Ausencia de acompañamiento
131;"Creo que el contenido de la materia es un poco demasiado extenso. Especialmente, el libro no es fácil de leer y memorizar.";"Andamiaje inadecuado o insuficiente; Proveer desafíos intelectuales"
132;"""Es mejor enseñar los patrones de diseño desde el inicio del semestre. Es un poco difícil aprenderlos cuando todos se enseñan en 2 días.""";"Desorganización; Estimulación del interés de los estudiantes"
133;"Por favor, haga más ejemplos diferentes.";Ejemplificación contextualizada
134;La serie de clases fue bastante buena.;"Estimulación del interés de los estudiantes; Estructura del curso"
135;"""El profesor se podría recomendar como bueno""";Entusiasmo del profesor sobre el curso
136;"Fue una buena serie de conferencias. Hubo algunas mejoras en esta conferencia en comparación con la anterior (OOP). Los ejemplos dados fueron muy claros y se podían entender bien ya que estaban bien explicados. Pero en algunas partes, el tiempo no fue suficiente para entender y tomar notas (sé que no es su culpa, sino un problema con el plan de estudios). La última parte de la serie de conferencias es la mejor (patrones de diseño). Estimada señora, gracias por su compromiso por dictar una gran conferencia.";"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Objetivos desbalanceados"
137;"La serie de clases en general fue buena. Personalmente, me costó trabajo leer un capítulo completo cada semana. Además de sistemas operativos, también tenemos un capítulo para leer y sé que no es una excusa. Pero fue mi experiencia que me resultó un poco difícil.";"Alineamiento constructivo; Proveer desafíos intelectuales"
138;Más ejemplos sobre patrones de diseño habrían sido útiles.;Ejemplificación contextualizada
139;"Las explicaciones de patrones de diseño fueron claras y los ejemplos fueron geniales. Si se hubiera utilizado ese enfoque en las otras clases también, hubiera sido más fácil entenderlas.";"Claridad y comprensibilidad de las explicaciones; Ejemplificación contextualizada; Estimulación del interés de los estudiantes"
140;"Como sugerí en la retroalimentación para el módulo de Principios de OOP, nos diste soluciones de ejemplo para los problemas, lo cual fue realmente útil.";"Aprendizaje basado en problemas; Ejemplificación contextualizada"
141;Teníamos una carga de trabajo enorme... propongo reducir un poco la carga.;Objetivos desbalanceados
142;"Me encantaría que todos los módulos fueran como este. Aprender mucha teoría es inútil si no sabemos cómo aplicarla. Como tuvimos la oportunidad de aplicar el conocimiento que adquirimos en las clases al proyecto del semestre, fue una experiencia de aprendizaje realmente buena. Obtuve una mejor comprensión a través del proyecto aplicando los conceptos que aprendimos para desarrollar nuestro propio software. Para mí, encuentro que es realmente interesante aprender conceptos aplicándolos a nuestro trabajo. Así puedo mejorar mi programación con calidad y buenas prácticas. Gracias señora por el esfuerzo que puso a lo largo del semestre.";"Alineamiento constructivo; Aplicación del conocimiento; Aprendizaje basado en proyectos; Autoevaluación de los estudiantes; Estimulación del interés de los estudiantes; Estructura del curso; Evaluación auténtica; Proveer desafíos intelectuales"
143;"Esta serie de clases puede recomendarse como mejor que OOP. Más que las clases de OOP, las clases de OOSD me motivaron a estudiar. Incluso los de atrás fueron felicitados por tener buenas ideas.";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
144;"En general, comparado con otros cursos, me gustaría decir que este curso es muy bueno y bien organizado.";"Alineamiento constructivo; Estructura del curso"
145;Las series de conferencias fueron buenas y la carga de trabajo fue razonable.;"Alineamiento constructivo; Estructura del curso; Sensibilidad del profesor al nivel y progreso de la clase"
146;Disfruté la serie de conferencias...;Estimulación del interés de los estudiantes
147;"""Los escenarios y los ejemplos discutidos en la clase ayudaron mucho a entender los conceptos. Es una buena forma de enseñar.""";"Ejemplificación contextualizada; Estimulación del interés de los estudiantes; Relacionar el contenido con la vida e intereses de los estudiantes"
148;Disfruté mucho esta serie de clases.;"Alineamiento constructivo; Estimulación del interés de los estudiantes"
149;El profesor fue realmente amable y suave.;Relación cercana
150;"""El profesor fue bueno. Y la serie de clases se puede recomendar como buena. Pero sería mejor si pudieran reducir la carga de trabajo.""";"Alineamiento constructivo; Objetivos desbalanceados"
151;La serie de conferencias estuvo muy organizada. Los temas de las conferencias fueron discutidos de manera clara y comprensible.;"Alineamiento constructivo; Claridad y comprensibilidad de las explicaciones; Estructura del curso"
152;Creo que las evaluaciones de proyectos serían mejores si se centraran más en la lógica empresarial y se discutiera cómo mejorar la calidad del diseño.;"Aprendizaje basado en proyectos; Estimulación del interés de los estudiantes"
154;"En realidad, todo el curso estuvo bien";Estructura del curso
155;"La serie de conferencias fue buena. Después del proyecto grupal, aprendimos muchas más cosas sobre el tema.";"Alineamiento constructivo; Aprendizaje basado en proyectos; Aprendizaje entre pares"
156;"Eres una de las mejores profesoras de nuestro departamento, gracias señora.";Relación cercana
157;Aprendimos una importante metodología de desarrollo de software en este curso y el proyecto grupal también fue una experiencia nueva.;"Aprendizaje basado en proyectos; Autoevaluación de los estudiantes; Evaluación auténtica"
158;Se necesitan más explicaciones con ejemplos.;"Ejemplificación contextualizada; Falta de apoyo en la integración de nuevo conocimiento"
